192.168.56.1--[2023-6-1-13-23-13] GET  / 222 200 
192.168.56.1--[2023-6-1-13-23-14] GET  /cal.html 236 200 http://192.168.56.1:8888/
192.168.56.1--[2023-6-1-13-23-17] POST  /cgi-bin/cal.py 431 200 http://192.168.56.1:8888/cal.html
192.168.56.1--[2023-6-1-13-23-19] GET  /index.html 222 200 http://192.168.56.1:8888/cgi-bin/cal.py
192.168.56.1--[2023-6-1-13-23-19] GET  /query.html 200 200 http://192.168.56.1:8888/index.html
192.168.56.1--[2023-6-1-13-23-22] POST  /cgi-bin/query.py 857 200 http://192.168.56.1:8888/query.html
192.168.56.1--[2023-6-1-13-23-27] GET  /cal.html 236 200 http://192.168.56.1:8888/index.html
192.168.56.1--[2023-6-1-13-23-31] POST  /cgi-bin/cal.py 431 200 http://192.168.56.1:8888/cal.html
192.168.56.1--[2023-6-1-13-23-32] GET  /index.html 222 200 http://192.168.56.1:8888/cgi-bin/cal.py
192.168.56.1--[2023-6-1-13-23-34] GET  /cal.html 236 200 http://192.168.56.1:8888/index.html
192.168.56.1--[2023-6-1-13-23-37] POST  /cgi-bin/cal.py 431 200 http://192.168.56.1:8888/cal.html
